title,subtitle,product_url,asin,image_url,is_sponsored,price,rating
"Maybelline New York Serum Lipstick (Satin) 8Hr weightless hydration, One-swipe bold color, Mauve - 103 Make it Work, 4.2g",same as title,https://www.amazon.in/Maybelline-Lipstick-weightless-hydration-One-swipe/dp/B0FPX9J4WR/ref=sr_1_11?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-11,B0FPX9J4WR,https://m.media-amazon.com/images/I/41ug4CGFo4L._AC_UL320_.jpg,False,₹500,4.9/5
MARS Matte Muse Mousse Lipstick (3ml) (09-SUPER STAR) with Doe-Foot Applicator | Highly Pigmented | Smooth Texture | Hydrating Formula | Blurry Lips Effect,same as title,https://www.amazon.in/MARS-Lipstick-Applicator-Pigmented-Hydrating/dp/B0DQTQN3NP/ref=sr_1_12?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-12,B0DQTQN3NP,https://m.media-amazon.com/images/I/71bHgYIdCmL._AC_UL320_.jpg,False,₹248,4.0/5
"Maybelline New York Sensational Liquid Matte Lipstick, Non-sticky, Non-drying Lipstick, Hassle-Free & Precise Application, Long-lasting Liquid Matte Lipstick - Nude Nuance|7ml",same as title,https://www.amazon.in/Maybelline-Sensational-Liquid-Lipstick-Nuance/dp/B099FNN755/ref=sr_1_13?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-13,B099FNN755,https://m.media-amazon.com/images/I/41sXjSVQrbL._AC_UL320_.jpg,False,₹214,4.0/5
"Elle 18 Lit Lip, Matte Finish, Nude Pumps, 16 hrs Long Lasting Liquid Lipstick, Smudge and Transfer Proof Lipstick, One-stroke application, Quick Drying | 5.6 ml",same as title,https://www.amazon.in/Elle-18-Lipstick-One-stroke-application/dp/B09J197WMZ/ref=sr_1_14?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-14,B09J197WMZ,https://m.media-amazon.com/images/I/51LE8j5pHYL._AC_UL320_.jpg,False,₹112,3.9/5
"Blue Heaven Matte Love Mini Lipsticks pack of 10 | Long Lasting, Hydrating & Moisturizing Mini Roll on Lipsticks for Women | Soft-Matte Finish | 13g",same as title,https://www.amazon.in/Blue-Heaven-Lipsticks-Hydrating-Moisturizing/dp/B0BX6SHPS8/ref=sr_1_15?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-15,B0BX6SHPS8,https://m.media-amazon.com/images/I/61vc8xowYUL._AC_UL320_.jpg,False,₹255,4.0/5
Blue Heaven Hyper Stay Weightless Liquid Matte Lipstick | Long-lasting Matte Finish | Non-Transfer Matte Lipstick for Women | Non-Sticky & Smudge Proof | Mystic Maroon-05 | 6ml,same as title,https://www.amazon.in/Blue-Heaven-Hyperstay-Matte-Maroon-05/dp/B08WMYMGTB/ref=sr_1_16?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-16,B08WMYMGTB,https://m.media-amazon.com/images/I/41Y-UaMv-rL._AC_UL320_.jpg,False,₹108,3.8/5
"Maybelline High-Glossy New York Superstay Vinyl Ink Liquid Lipstick Lippy Instant Shine & Transfer Proof. Last Up To 16Hr, Enriched With Vitamin E & Aloe | 4.2Ml",same as title,https://www.amazon.in/Maybelline-Lipstick-Enriched-Vitamin-SuperStay/dp/B0B9R5F73S/ref=sr_1_17?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-17,B0B9R5F73S,https://m.media-amazon.com/images/I/51Rr4DPmL-L._AC_UL320_.jpg,False,₹466,4.0/5
Lakme Cushion Matte lip MauveLove,same as title,https://www.amazon.in/LAKM%C3%89-LEPY100-Lipstick-MauveLove-Matte/dp/B0CJ2J2DNV/ref=sr_1_18?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-18,B0CJ2J2DNV,https://m.media-amazon.com/images/I/51AePYgKF6L._AC_UL320_.jpg,False,₹243,4.0/5
"Swiss Beauty Satin Comfort Lipstick | Ultra-Hydrating | Highly Pigmented | Smooth Glide | Satin Matte Finish | One-Swipe Application | Shade- 20 Night Wine, 3gm",same as title,https://www.amazon.in/Lipstick-Ultra-Hydrating-Pigmented-One-Swipe-Application/dp/B0F7LB2Q5N/ref=sr_1_19?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-19,B0F7LB2Q5N,https://m.media-amazon.com/images/I/51d236Kz3uL._AC_UL320_.jpg,False,₹199,4.1/5
Pilgrim Glitter Lipstick For Women 4.2gm | Dubai Luxe Lifestyle - The Khalifa Shade | Lipstick Infused with Vitamin E & Olive Oil | Glitter Formula With Matte Finish | Non Drying | All Skin Types,same as title,https://www.amazon.in/Pilgrim-Glitter-Lipstick-Women-Lifestyle/dp/B0DNQ3NWDX/ref=sr_1_20?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-20,B0DNQ3NWDX,https://m.media-amazon.com/images/I/51a7uia+rHL._AC_UL320_.jpg,False,₹439,4.0/5
